code,gu_hang
1101053,종로구_사직동
1101054,종로구_삼청동
1101055,종로구_부암동
1101056,종로구_평창동
1101057,종로구_무악동
1101058,종로구_교남동
1101060,종로구_가회동
1101061,종로구_종로1·2·3·4가동
1101063,종로구_종로5·6가동
1101064,종로구_이화동
1101067,종로구_창신1동
1101068,종로구_창신2동
1101069,종로구_창신3동
1101070,종로구_숭인1동
1101071,종로구_숭인2동
1101072,종로구_청운효자동
1101073,종로구_혜화동
1102052,중구_소공동
1102054,중구_회현동
1102055,중구_명동
1102057,중구_필동
1102058,중구_장충동
1102059,중구_광희동
1102060,중구_을지로동
1102065,중구_신당5동
1102067,중구_황학동
1102068,중구_중림동
1102069,중구_신당동
1102070,중구_다산동
1102071,중구_약수동
1102072,중구_청구동
1102073,중구_동화동
1103051,용산구_후암동
1103052,용산구_용산2가동
1103053,용산구_남영동
1103057,용산구_원효로2동
1103058,용산구_효창동
1103059,용산구_용문동
1103063,용산구_이촌1동
1103064,용산구_이촌2동
1103065,용산구_이태원1동
1103066,용산구_이태원2동
1103069,용산구_서빙고동
1103070,용산구_보광동
1103071,용산구_청파동
1103072,용산구_원효로1동
1103073,용산구_한강로동
1103074,용산구_한남동
1104052,성동구_왕십리2동
1104054,성동구_마장동
1104055,성동구_사근동
1104056,성동구_행당1동
1104057,성동구_행당2동
1104058,성동구_응봉동
1104059,성동구_금호1가동
1104062,성동구_금호4가동
1104065,성동구_성수1가1동
1104066,성동구_성수1가2동
1104067,성동구_성수2가1동
1104068,성동구_성수2가3동
1104069,성동구_송정동
1104070,성동구_용답동
1104071,성동구_왕십리도선동
1104072,성동구_금호2·3가동
1104073,성동구_옥수동
1105053,광진구_화양동
1105054,광진구_군자동
1105055,광진구_중곡1동
1105056,광진구_중곡2동
1105057,광진구_중곡3동
1105058,광진구_중곡4동
1105059,광진구_능동
1105060,광진구_구의1동
1105061,광진구_구의2동
1105062,광진구_구의3동
1105063,광진구_광장동
1105064,광진구_자양1동
1105065,광진구_자양2동
1105066,광진구_자양3동
1105067,광진구_자양4동
1106071,동대문구_회기동
1106072,동대문구_휘경1동
1106073,동대문구_휘경2동
1106080,동대문구_청량리동
1106081,동대문구_용신동
1106082,동대문구_제기동
1106083,동대문구_전농1동
1106084,동대문구_전농2동
1106086,동대문구_답십리2동
1106087,동대문구_장안1동
1106088,동대문구_장안2동
1106089,동대문구_이문1동
1106090,동대문구_이문2동
1106091,동대문구_답십리1동
1107052,중랑구_면목2동
1107054,중랑구_면목4동
1107055,중랑구_면목5동
1107057,중랑구_면목7동
1107059,중랑구_상봉1동
1107060,중랑구_상봉2동
1107061,중랑구_중화1동
1107062,중랑구_중화2동
1107064,중랑구_묵1동
1107065,중랑구_묵2동
1107068,중랑구_망우3동
1107069,중랑구_신내1동
1107070,중랑구_신내2동
1107071,중랑구_면목본동
1107072,중랑구_면목3·8동
1107073,중랑구_망우본동
1108058,성북구_돈암1동
1108059,성북구_돈암2동
1108060,성북구_안암동
1108061,성북구_보문동
1108062,성북구_정릉1동
1108063,성북구_정릉2동
1108064,성북구_정릉3동
1108065,성북구_정릉4동
1108066,성북구_길음1동
1108068,성북구_길음2동
1108071,성북구_월곡1동
1108072,성북구_월곡2동
1108076,성북구_장위1동
1108077,성북구_장위2동
1108078,성북구_장위3동
1108081,성북구_성북동
1108082,성북구_삼선동
1108083,성북구_동선동
1108084,성북구_종암동
1108085,성북구_석관동
1109060,강북구_번1동
1109061,강북구_번2동
1109062,강북구_번3동
1109063,강북구_수유1동
1109064,강북구_수유2동
1109065,강북구_수유3동
1109069,강북구_삼양동
1109070,강북구_미아동
1109071,강북구_송중동
1109072,강북구_송천동
1109073,강북구_삼각산동
1109074,강북구_우이동
1109075,강북구_인수동
1110051,도봉구_쌍문1동
1110052,도봉구_쌍문2동
1110053,도봉구_쌍문3동
1110054,도봉구_쌍문4동
1110055,도봉구_방학1동
1110056,도봉구_방학2동
1110057,도봉구_방학3동
1110059,도봉구_창1동
1110060,도봉구_창2동
1110061,도봉구_창3동
1110062,도봉구_창4동
1110063,도봉구_창5동
1110064,도봉구_도봉1동
1110065,도봉구_도봉2동
1111051,노원구_월계1동
1111052,노원구_월계2동
1111053,노원구_월계3동
1111056,노원구_공릉2동
1111058,노원구_하계1동
1111059,노원구_하계2동
1111060,노원구_중계본동
1111061,노원구_중계1동
1111064,노원구_중계4동
1111065,노원구_상계1동
1111066,노원구_상계2동
1111069,노원구_상계5동
1111072,노원구_상계8동
1111073,노원구_상계9동
1111074,노원구_상계10동
1111076,노원구_상계3·4동
1111077,노원구_상계6·7동
1111078,노원구_중계2·3동
1111079,노원구_공릉1동
1112051,은평구_녹번동
1112052,은평구_불광1동
1112055,은평구_갈현1동
1112056,은평구_갈현2동
1112057,은평구_구산동
1112058,은평구_대조동
1112059,은평구_응암1동
1112060,은평구_응암2동
1112065,은평구_신사1동
1112066,은평구_신사2동
1112067,은평구_증산동
1112068,은평구_수색동
1112071,은평구_진관동
1112072,은평구_불광2동
1112073,은평구_응암3동
1112074,은평구_역촌동
1113052,서대문구_천연동
1113062,서대문구_홍제1동
1113064,서대문구_홍제3동
1113065,서대문구_홍제2동
1113066,서대문구_홍은1동
1113068,서대문구_홍은2동
1113069,서대문구_남가좌1동
1113070,서대문구_남가좌2동
1113071,서대문구_북가좌1동
1113072,서대문구_북가좌2동
1113073,서대문구_충현동
1113074,서대문구_북아현동
1113075,서대문구_신촌동
1113076,서대문구_연희동
1114059,마포구_용강동
1114060,마포구_대흥동
1114061,마포구_염리동
1114063,마포구_신수동
1114066,마포구_서교동
1114068,마포구_합정동
1114069,마포구_망원1동
1114070,마포구_망원2동
1114071,마포구_연남동
1114072,마포구_성산1동
1114073,마포구_성산2동
1114074,마포구_상암동
1114075,마포구_도화동
1114076,마포구_서강동
1114077,마포구_공덕동
1114078,마포구_아현동
1115051,양천구_목1동
1115052,양천구_목2동
1115053,양천구_목3동
1115054,양천구_목4동
1115057,양천구_신월1동
1115058,양천구_신월2동
1115059,양천구_신월3동
1115060,양천구_신월4동
1115061,양천구_신월5동
1115062,양천구_신월6동
1115063,양천구_신월7동
1115064,양천구_신정1동
1115065,양천구_신정2동
1115066,양천구_신정3동
1115069,양천구_신정6동
1115070,양천구_신정7동
1115071,양천구_목5동
1115072,양천구_신정4동
1116051,강서구_염창동
1116052,강서구_등촌1동
1116053,강서구_등촌2동
1116054,강서구_등촌3동
1116055,강서구_화곡본동
1116057,강서구_화곡2동
1116058,강서구_화곡3동
1116059,강서구_화곡4동
1116061,강서구_화곡6동
1116063,강서구_화곡8동
1116064,강서구_가양1동
1116065,강서구_가양2동
1116066,강서구_가양3동
1116067,강서구_발산1동
1116069,강서구_공항동
1116070,강서구_방화1동
1116071,강서구_방화2동
1116072,강서구_방화3동
1116073,강서구_화곡1동
1116074,강서구_우장산동
1117051,구로구_신도림동
1117052,구로구_구로1동
1117054,구로구_구로3동
1117055,구로구_구로4동
1117056,구로구_구로5동
1117061,구로구_고척1동
1117062,구로구_고척2동
1117064,구로구_개봉2동
1117065,구로구_개봉3동
1117067,구로구_오류1동
1117068,구로구_오류2동
1117069,구로구_수궁동
1117070,구로구_가리봉동
1117071,구로구_구로2동
1117072,구로구_개봉1동
1118051,금천구_가산동
1118052,금천구_독산1동
1118053,금천구_독산2동
1118054,금천구_독산3동
1118055,금천구_독산4동
1118057,금천구_시흥1동
1118058,금천구_시흥2동
1118059,금천구_시흥3동
1118060,금천구_시흥4동
1118061,금천구_시흥5동
1119054,영등포구_여의동
1119055,영등포구_당산1동
1119056,영등포구_당산2동
1119061,영등포구_양평1동
1119062,영등포구_양평2동
1119063,영등포구_신길1동
1119065,영등포구_신길3동
1119066,영등포구_신길4동
1119067,영등포구_신길5동
1119068,영등포구_신길6동
1119069,영등포구_신길7동
1119070,영등포구_대림1동
1119071,영등포구_대림2동
1119072,영등포구_대림3동
1119073,영등포구_영등포본동
1119074,영등포구_영등포동
1119075,영등포구_도림동
1119076,영등포구_문래동
1120052,동작구_노량진2동
1120053,동작구_상도1동
1120054,동작구_상도2동
1120055,동작구_상도3동
1120056,동작구_상도4동
1120063,동작구_사당1동
1120065,동작구_사당3동
1120066,동작구_사당4동
1120067,동작구_사당5동
1120068,동작구_대방동
1120069,동작구_신대방1동
1120070,동작구_신대방2동
1120071,동작구_흑석동
1120072,동작구_노량진1동
1120073,동작구_사당2동
1121052,관악구_보라매동
1121054,관악구_청림동
1121057,관악구_행운동
1121058,관악구_낙성대동
1121061,관악구_중앙동
1121062,관악구_인헌동
1121063,관악구_남현동
1121064,관악구_서원동
1121065,관악구_신원동
1121066,관악구_서림동
1121068,관악구_신사동
1121069,관악구_신림동
1121071,관악구_난향동
1121072,관악구_조원동
1121073,관악구_대학동
1121078,관악구_은천동
1121079,관악구_성현동
1121080,관악구_청룡동
1121081,관악구_난곡동
1121082,관악구_삼성동
1121083,관악구_미성동
1122051,서초구_서초1동
1122052,서초구_서초2동
1122053,서초구_서초3동
1122054,서초구_서초4동
1122055,서초구_잠원동
1122056,서초구_반포본동
1122057,서초구_반포1동
1122058,서초구_반포2동
1122059,서초구_반포3동
1122060,서초구_반포4동
1122061,서초구_방배본동
1122062,서초구_방배1동
1122063,서초구_방배2동
1122064,서초구_방배3동
1122065,서초구_방배4동
1122066,서초구_양재1동
1122067,서초구_양재2동
1122068,서초구_내곡동
1123051,강남구_신사동
1123052,강남구_논현1동
1123053,강남구_논현2동
1123058,강남구_삼성1동
1123059,강남구_삼성2동
1123060,강남구_대치1동
1123063,강남구_대치4동
1123064,강남구_역삼1동
1123065,강남구_역삼2동
1123066,강남구_도곡1동
1123067,강남구_도곡2동
1123068,강남구_개포1동
1123071,강남구_개포4동
1123072,강남구_일원본동
1123073,강남구_일원1동
1123074,강남구_일원2동
